code,interlevel,location,original
012812066,Bgy,San Miguel,False
012812066,Bgy,"Bgy. No. 20, San Miguel",True
012812066,Bgy,"Bgy. No. 20, San Miguel (Pob.)",False
012812066,Bgy,Bgy. No. 20,False
012812067,Bgy,"Bgy. No. 21, San Pedro (Pob.)",False
012812067,Bgy,San Pedro,False
012812067,Bgy,"Bgy. No. 21, San Pedro",True
012812067,Bgy,Bgy. No. 21,False
012812068,Bgy,"Bgy. No. 5, San Pedro",True
012812068,Bgy,Bgy. No. 5,False
012812068,Bgy,"Bgy. No. 5, San Pedro (Pob.)",False
012812068,Bgy,San Pedro,False
012812069,Bgy,Bry. No. 18,False
012812069,Bgy,"Bry. No. 18, San Quirino",True
012812069,Bgy,"Bry. No. 18, San Quirino (Pob.)",False
012812069,Bgy,San Quirino,False
012812070,Bgy,Bgy. No. 8,False
012812070,Bgy,San Vicente,False
012812070,Bgy,"Bgy. No. 8, San Vicente (Pob.)",False
012812070,Bgy,"Bgy. No. 8, San Vicente",True
012812071,Bgy,"Bgy. No. 9, Santa Angela (Pob.)",False
012812071,Bgy,Bgy. No. 9,False
012812071,Bgy,Santa Angela,False
012812071,Bgy,"Bgy. No. 9, Santa Angela",True
012812072,Bgy,"Bgy. No. 11, Santa Balbina (Pob.)",False
012812072,Bgy,Bgy. No. 11,False
012812072,Bgy,Santa Balbina,False
012812072,Bgy,"Bgy. No. 11, Santa Balbina",True
012812073,Bgy,"Bgy. No. 25, Santa Cayetana (Pob.)",False
012812073,Bgy,Bgy. No. 25,False
012812073,Bgy,Santa Cayetana,False
012812073,Bgy,"Bgy. No. 25, Santa Cayetana",True
012812074,Bgy,"Bgy. No. 2, Santa Joaquina (Pob.)",False
012812074,Bgy,Bgy. No. 2,False
012812074,Bgy,Santa Joaquina,False
012812074,Bgy,"Bgy. No. 2, Santa Joaquina",True
012812075,Bgy,"Bgy. No. 19, Santa Marcela",True
012812075,Bgy,"Bgy. No. 19, Santa Marcela (Pob.)",False
012812075,Bgy,Santa Marcela,False
012812075,Bgy,Bgy. No. 19,False
012812076,Bgy,"Bgy. No. 30-B, Santa Maria",True
012812076,Bgy,Santa Maria,False
012812076,Bgy,Bgy. No. 30-B,False
012812077,Bgy,Bgy. No. 39,False
012812077,Bgy,"Bgy. No. 39, Santa Rosa",True
012812077,Bgy,Santa Rosa,False
012812078,Bgy,Bgy. No. 14,False
012812078,Bgy,"Bgy. No. 14, Santo Tomas (Pob.)",False
012812078,Bgy,Santo Tomas,False
012812078,Bgy,"Bgy. No. 14, Santo Tomas",True
012812079,Bgy,"Bgy. No. 29, Santo Tomas (Pob.)",False
012812079,Bgy,Bgy. No. 29,False
012812079,Bgy,Santo Tomas,False
012812079,Bgy,"Bgy. No. 29, Santo Tomas",True
012812080,Bgy,Bgy. No. 30-A,False
012812080,Bgy,Suyo,False
012812080,Bgy,"Bgy. No. 30-A, Suyo",True
012812081,Bgy,Bgy. No. 31,False
012812081,Bgy,"Bgy. No. 31, Talingaan",True
012812081,Bgy,Talingaan,False
012812082,Bgy,"Bgy. No. 45, Tangid",True
012812082,Bgy,Tangid,False
012812082,Bgy,Bgy. No. 45,False
012812083,Bgy,"Bgy. No. 55-C, Vira",True
012812083,Bgy,Vira,False
012812083,Bgy,Bgy. No. 55-C,False
012812084,Bgy,"Bgy. No. 44, Zamboanga",True
012812084,Bgy,Zamboanga,False
012812084,Bgy,Bgy. No. 44,False
012813000,Mun,MARCOS,True
012813001,Bgy,Pacifico (Agunit),True
012813001,Bgy,Agunit,True
012813001,Bgy,Pacifico,True
