,location,code,PSGC,Municipality/City,Poverty
1501,BUENAVISTA,45605000,45605000.0,Buenavista,38.5
1502,BURDEOS,45606000,45606000.0,Burdeos,40.9
1503,CALAUAG,45607000,45607000.0,Calauag,24.5
1504,CANDELARIA,45608000,45608000.0,Candelaria,6.2
1505,CATANAUAN,45610000,45610000.0,Catanauan,26.2
1506,DOLORES,45615000,45615000.0,Dolores,9.5
1507,GENERAL LUNA,45616000,45616000.0,General Luna,27.5
1508,GENERAL NAKAR,45617000,45617000.0,General Nakar,31.5
1509,GUINAYANGAN,45618000,45618000.0,Guinayangan,22.5
1510,GUMACA,45619000,45619000.0,Gumaca,13.1
1511,INFANTA,45620000,45620000.0,Infanta,11.9
1512,JOMALIG,45621000,45621000.0,Jomalig,45.5
1513,LOPEZ,45622000,45622000.0,Lopez,22.4
1514,LUCBAN,45623000,45623000.0,Lucban,3.8
1515,LUCENA,45624000,45624000.0,Lucena City,5.9
1516,MACALELON,45625000,45625000.0,Macalelon,28.9
1517,MAUBAN,45627000,45627000.0,Mauban,18.1
1518,MULANAY,45628000,45628000.0,Mulanay,34.3
1519,PADRE BURGOS,45629000,45629000.0,Padre Burgos,20.9
1520,PAGBILAO,45630000,45630000.0,Pagbilao,10.1
1521,PANUKULAN,45631000,45631000.0,Panukulan,39.5
1522,PATNANUNGAN,45632000,45632000.0,Patnanungan,45.2
1523,PEREZ,45633000,45633000.0,Perez,33.6
1524,PITOGO,45634000,45634000.0,Pitogo,25.4
1525,PLARIDEL,45635000,45635000.0,Plaridel,14.1
1526,POLILLO,45636000,45636000.0,Polillo,24.5
1527,QUEZON,45637000,45637000.0,Quezon,26.2
1528,REAL,45638000,45638000.0,Real,23.4
1529,SAMPALOC,45639000,45639000.0,Sampaloc,11.4
1530,SAN ANDRES,45640000,45640000.0,San Andres,43.8
1531,SAN ANTONIO,45641000,45641000.0,San Antonio,19.2
1532,SAN FRANCISCO,45642000,45642000.0,San Francisco (Aurora),39.3
1533,SAN FRANCISCO,45642000,45642000.0,San Francisco (Aurora),39.3
1534,AURORA,45642000,45642000.0,San Francisco (Aurora),39.3
1535,AURORA,45642000,45642000.0,San Francisco (Aurora),39.3
1536,SAN NARCISO,45644000,45644000.0,San Narciso,35.3
1537,SARIAYA,45645000,45645000.0,Sariaya,19.8
1538,TAGKAWAYAN,45646000,45646000.0,Tagkawayan,23.8
1539,TAYABAS,45647000,45647000.0,Tayabas City,8.8
1540,TIAONG,45648000,45648000.0,Tiaong,8.6
1541,UNISAN,45649000,45649000.0,Unisan,20.9
